agno;mes;dia;valor
1966;8;1;85
1966;9;1;12,2
1966;10;1;6,8
1966;11;1;0,1
1966;12;1;30,6
1967;1;1;0
1967;2;1;0
1967;3;1;0,1
1967;4;1;6,1
1967;5;1;68,6
1967;6;1;84,9
1967;7;1;219,8
1967;8;1;65,8
1967;9;1;19,8
1967;10;1;6,9
1967;11;1;8,8
1967;12;1;0
1968;1;1;0
1968;2;1;0
1968;3;1;5,9
1968;4;1;14,3
1968;5;1;0
1968;6;1;28,4
1968;7;1;8,6
1968;8;1;50,1
1968;9;1;44,8
1968;10;1;0
1968;11;1;0,4
1968;12;1;1,6
1969;1;1;0,4
1969;2;1;0
1969;3;1;0
1969;4;1;41,5
1969;5;1;76,9
1969;6;1;205
1969;7;1;62,5
1969;8;1;61,7
1969;9;1;0
1969;10;1;1,8
1969;11;1;11,7
1969;12;1;0,3
1970;1;1;0,4
1970;2;1;0
1970;3;1;0
1970;4;1;0
1970;5;1;96,4
1970;6;1;112,1
1970;7;1;238,6
1970;8;1;10,1
1970;9;1;50,7
1970;10;1;20,9
1970;11;1;0
1970;12;1;0
1971;1;1;0
1971;2;1;0,8
1971;3;1;1,2
1971;4;1;42,1
1971;5;1;7,2
1971;6;1;0
1971;7;1;0
1971;9;1;0
1971;10;1;25,3
1971;11;1;0
1971;12;1;31,8
1972;1;1;0
1972;2;1;0
1972;3;1;0
1972;4;1;7,6
1972;5;1;220,9
1972;6;1;245,4
1972;7;1;121,3
1972;8;1;186,8
1972;9;1;65,9
1972;10;1;16,9
1972;11;1;3
1972;12;1;0
1973;1;1;0
1973;2;1;0
1973;3;1;0
1973;4;1;0,7
1973;5;1;74,1
1973;6;1;47,4
1973;7;1;134,4
1973;8;1;3,6
1973;9;1;0
1973;10;1;71,4
1973;11;1;0
1973;12;1;0
1974;1;1;0
1974;2;1;0
1974;3;1;0
1974;4;1;0
1974;5;1;130
1974;6;1;210,3
1974;7;1;31,2
1974;8;1;21,8
1974;9;1;84,2
1974;10;1;0,3
1974;11;1;22,8
1974;12;1;1,6
1975;1;1;0,6
1975;2;1;0
1975;3;1;0
1975;4;1;30,5
1975;5;1;24,5
1975;6;1;36,7
1975;7;1;38,4
1975;8;1;44,2
1975;9;1;0,9
1975;10;1;0
1975;11;1;18,4
1975;12;1;0
1976;1;1;0
1976;2;1;0
1976;3;1;4,1
1976;4;1;0
1976;5;1;33
1976;6;1;55,2
1976;7;1;28
1976;8;1;29
1976;9;1;24,5
1976;10;1;95,2
1976;11;1;41,8
1976;12;1;0,1
1977;1;1;4
1977;2;1;0
1977;3;1;0
1977;4;1;23,1
1977;5;1;24,2
1977;6;1;173,5
1977;7;1;299,2
1977;8;1;76,1
1977;9;1;0
1977;10;1;114,8
1977;11;1;16,3
1977;12;1;0
1978;1;1;0
1978;2;1;0
1978;3;1;0
1978;4;1;0
1978;5;1;30,4
1978;6;1;88
1978;7;1;236,8
1978;8;1;15,7
1978;9;1;74,4
1978;10;1;0
1978;11;1;44,7
1978;12;1;0,3
1979;1;1;0
1979;2;1;0
1979;3;1;0
1979;4;1;39
1979;5;1;48,7
1979;6;1;0
1979;7;1;160,6
1979;8;1;42,5
1979;9;1;60
1979;10;1;0
1979;11;1;18,8
1979;12;1;32,5
1980;1;1;0
1980;2;1;0,6
1980;3;1;2,4
1980;4;1;171,3
1980;5;1;153,7
1980;6;1;144,1
1980;7;1;149,3
1980;8;1;11,1
1980;9;1;62,1
1980;10;1;0
1980;11;1;0
1980;12;1;0
1981;1;1;0
1981;2;1;0
1981;3;1;1,4
1981;4;1;13,9
1981;5;1;227,7
