agno;mes;dia;valor
1967;3;1;31,4
1967;4;1;31,7
1967;5;1;26,6
1967;6;1;20
1967;7;1;21
1967;8;1;23,4
1967;9;1;22,6
1967;10;1;28,4
1967;11;1;32,5
1967;12;1;34,4
1968;1;1;34,2
1968;2;1;33,2
1968;3;1;29,4
1968;5;1;27,6
1968;6;1;22,7
1968;7;1;26
1968;8;1;25,6
1968;9;1;28,8
1968;10;1;27,6
1968;11;1;32,8
1968;12;1;31,8
1969;1;1;35,1
1969;2;1;31,8
1969;3;1;33
1969;4;1;30,8
1969;5;1;24,8
1969;6;1;21,8
1969;7;1;25,4
1969;8;1;25,1
1969;9;1;30
1969;10;1;29,6
1969;11;1;30,6
1970;2;1;35,2
1970;3;1;33,2
1970;4;1;30,2
1970;5;1;26,9
1970;6;1;18
1970;7;1;21,2
1970;8;1;22,6
1970;9;1;24,7
1970;10;1;28,2
1970;11;1;31,2
1970;12;1;33,9
1971;1;1;34,3
1971;2;1;33,3
1971;3;1;31,7
1971;4;1;28,4
1971;5;1;26,3
1971;6;1;19,6
1971;7;1;21,9
1971;8;1;22,3
1971;9;1;25,2
1971;10;1;28,8
1971;11;1;31,5
1971;12;1;33,2
1972;1;1;34,5
1972;2;1;34,5
1972;3;1;31
1972;4;1;31,2
1972;5;1;25,8
1972;6;1;20,8
1972;7;1;20,6
1972;8;1;23,6
1972;9;1;27
1972;10;1;29,6
1972;11;1;30,2
1972;12;1;33,4
1973;1;1;35,5
1973;2;1;35,8
1973;3;1;34,4
1973;4;1;31,3
1973;5;1;24,5
1973;6;1;22,2
1973;7;1;23,1
1973;8;1;29,9
1973;9;1;28,4
1973;10;1;29,8
1973;11;1;33
1973;12;1;33,6
1974;1;1;32,4
1974;2;1;31,3
1974;3;1;31,6
1974;4;1;30,7
1974;5;1;26,3
1974;6;1;20,2
1974;7;1;21,6
1974;8;1;26,6
1974;9;1;28,6
1974;10;1;30,1
1974;11;1;32,5
1974;12;1;32,8
1975;1;1;32,4
1975;2;1;32,2
1975;3;1;31,6
1975;4;1;29,4
1975;5;1;25,9
1975;6;1;23,2
1975;7;1;22,2
1975;8;1;27,3
1975;9;1;25,2
1975;10;1;30,8
1975;11;1;30,4
1975;12;1;33,8
1976;1;1;32,9
1976;2;1;30,6
1976;3;1;30,6
1976;4;1;31,2
1976;5;1;25
1976;6;1;23
1976;7;1;23,5
1976;8;1;24,2
1976;9;1;27,4
1976;10;1;28,4
1976;11;1;32
1976;12;1;34,7
1977;1;1;35,9
1977;2;1;33,4
1977;3;1;35,4
1977;4;1;29
1977;5;1;26,3
1977;6;1;23,6
1977;7;1;18,8
1977;8;1;22,3
1977;9;1;28,3
1977;10;1;29,8
1977;11;1;31,3
1977;12;1;32,3
1978;1;1;33,1
1978;2;1;33,8
1978;3;1;33,4
1978;4;1;30,3
1978;5;1;27,8
1978;6;1;20
1978;7;1;20,8
1978;8;1;26
1978;9;1;28,4
1978;10;1;29,2
1978;11;1;33,4
1978;12;1;34,7
1979;1;1;33,4
1979;2;1;36,6
1979;3;1;30,8
1979;4;1;30,1
1979;5;1;25,2
1979;6;1;21,8
1979;7;1;25,5
1979;8;1;24,3
1979;9;1;27,1
1979;10;1;30,5
1979;11;1;31,1
1979;12;1;34,2
1980;1;1;34,6
1980;2;1;32,8
1980;3;1;33,8
1980;4;1;26,6
1980;5;1;25,1
1980;6;1;22,7
1980;7;1;23,8
1980;8;1;24,8
1980;9;1;27,1
1980;10;1;32,6
1980;11;1;33
1980;12;1;34,4
1981;1;1;32,4
1981;2;1;33,4
1981;3;1;34
1981;4;1;30,1
1981;5;1;23,9
1981;6;1;21,4
1981;7;1;21,8
1981;8;1;26
1981;9;1;27,4
1981;10;1;28,8
1981;11;1;30,6
1981;12;1;33,6
1982;1;1;34,8
1982;2;1;32
1982;3;1;32,3
