agno;mes;dia;valor
1950;1;1;32,3
1950;2;1;33,4
1950;3;1;31
1950;4;1;29,4
1950;5;1;25
1950;6;1;18,9
1950;7;1;21,5
1950;8;1;24,5
1950;9;1;29,1
1950;10;1;28,6
1950;11;1;31,4
1951;1;1;31,7
1951;2;1;32,5
1951;3;1;30,5
1951;4;1;31,5
1951;5;1;27
1951;6;1;20
1951;7;1;22,5
1951;8;1;25,4
1951;9;1;31,4
1951;10;1;31
1951;11;1;31
1951;12;1;33
1952;1;1;34,5
1952;2;1;34,7
1952;3;1;32,5
1952;4;1;30,5
1952;5;1;28,4
1952;6;1;19,5
1952;7;1;19,8
1952;8;1;24,5
1952;9;1;26,6
1952;10;1;30,5
1952;11;1;34,2
1952;12;1;35
1953;1;1;33,3
1953;2;1;33,3
1953;3;1;31,1
1953;4;1;31,4
1953;5;1;23,3
1953;6;1;18,8
1953;7;1;20,9
1953;8;1;22,1
1953;9;1;25,1
1953;10;1;26,6
1953;11;1;33,2
1953;12;1;34,1
1954;1;1;34,5
1954;2;1;33,8
1954;3;1;32,9
1954;4;1;28,5
1954;5;1;22,6
1954;6;1;19,6
1954;7;1;17,8
1954;8;1;26,8
1954;9;1;25,4
1954;10;1;28,9
1954;11;1;32,7
1954;12;1;33
1955;1;1;33,5
1955;2;1;34,5
1955;3;1;31,5
1955;4;1;28,9
1955;5;1;27,1
1955;6;1;21,5
1955;7;1;21,2
1955;8;1;21,9
1955;9;1;28,6
1955;10;1;27,3
1955;11;1;34
1955;12;1;32,4
1956;1;1;32,4
1956;2;1;34,1
1956;3;1;32,9
1956;4;1;27,3
1956;5;1;25
1956;6;1;21,2
1956;7;1;25
1956;8;1;23,8
1956;9;1;27,3
1956;10;1;28,9
1956;11;1;31,7
1956;12;1;34,7
1957;1;1;33,1
1957;2;1;33,6
1957;3;1;32,1
1957;4;1;29,3
1957;5;1;27,5
1957;6;1;23,1
1957;7;1;22,3
1957;8;1;23,2
1957;9;1;28,9
1957;10;1;29,7
1957;11;1;32,6
1957;12;1;33,2
1958;1;1;33,5
1958;2;1;35
1958;3;1;31,3
1958;4;1;32,1
1958;5;1;25,8
1958;6;1;19,6
1958;7;1;20,6
1958;8;1;23,8
1958;9;1;26,8
1958;10;1;29
1958;11;1;30,9
1958;12;1;32,6
1959;1;1;33,8
1959;2;1;34,8
1959;3;1;32
1959;4;1;23,4
1959;5;1;25,1
1959;6;1;21,8
1959;7;1;20,4
1959;8;1;22,8
1959;9;1;27,4
1959;10;1;29,6
1959;11;1;31,6
1959;12;1;32,8
1960;1;1;31,8
1960;2;1;33,3
1960;3;1;32
1960;4;1;29
1960;5;1;24,8
1960;6;1;20,8
1960;7;1;17,5
1960;8;1;26,9
1960;9;1;26,6
1960;10;1;28,2
1960;11;1;33
1960;12;1;35
1961;1;1;36,9
1961;2;1;33,4
1961;3;1;31,6
1961;4;1;27,7
1961;5;1;27,5
1961;6;1;21,7
1961;7;1;22,8
1961;8;1;23,8
1961;9;1;26,7
1961;10;1;30,8
1961;11;1;31,8
1961;12;1;32,2
1962;1;1;32,9
1962;2;1;31,5
1962;3;1;32,4
1962;4;1;29,8
1962;5;1;28,4
1962;6;1;24,2
1962;7;1;22,5
1962;8;1;24,8
1962;9;1;28,6
1962;10;1;29,5
1962;11;1;32,5
1962;12;1;33,5
1963;1;1;33,2
1963;2;1;33,5
1963;3;1;31
1963;4;1;30,3
1963;5;1;26,2
1963;6;1;23,4
1963;7;1;22,5
1963;8;1;22
1963;9;1;26,5
1963;10;1;27,2
1963;11;1;29,4
1963;12;1;32,9
1964;1;1;33
1964;2;1;31,5
1964;3;1;31
1964;4;1;26
1964;5;1;27,8
1964;6;1;21
1964;7;1;22,3
1964;8;1;23
1964;9;1;31,4
1964;10;1;30,9
1964;11;1;31,1
1964;12;1;33
1965;1;1;33,7
1965;2;1;33,5
1965;3;1;32,8
1965;4;1;31,1
1965;5;1;25,1
1965;6;1;26,3
1965;7;1;20,7
1965;8;1;22,7
1965;9;1;27,7
1965;10;1;30,5
1965;11;1;30,4
1965;12;1;31,6
1966;1;1;33
1966;2;1;31,5
1966;3;1;32,2
1966;4;1;26,3
1966;5;1;26
1966;6;1;24,8
1966;7;1;20,6
1966;8;1;25,2
1966;9;1;27,4
1966;10;1;29,6
1966;11;1;31,4
1966;12;1;32,1
1967;1;1;33,9
1967;2;1;32
1967;3;1;31,6
1967;4;1;32,2
1967;5;1;27,5
1967;6;1;21,3
1967;7;1;22,6
1967;8;1;23,6
1967;9;1;25,8
1967;10;1;29,4
1967;11;1;32,8
1967;12;1;34,1
1968;1;1;35,2
