agno;mes;dia;valor
1966;8;1;8,9
1966;9;1;8,9
1966;10;1;10,5
1966;11;1;12,7
1966;12;1;14,6
1967;3;1;13,3
1967;4;1;11,8
1967;5;1;11,9
1967;6;1;7,4
1967;7;1;7,5
1967;8;1;7,8
1967;9;1;8,7
1967;10;1;11,1
1967;11;1;12,5
1967;12;1;14,3
1968;1;1;14,7
1968;2;1;15,3
1968;3;1;13,5
1968;4;1;11,2
1968;5;1;10,3
1968;6;1;10,2
1968;7;1;9,3
1968;8;1;10
1968;9;1;10,7
1968;10;1;11,1
1968;11;1;14,1
1968;12;1;14,9
1969;1;1;16,3
1969;2;1;14,2
1969;3;1;13,4
1969;4;1;12,1
1969;5;1;11,8
1969;6;1;10,5
1969;7;1;9,4
1969;8;1;8,8
1969;9;1;10
1969;10;1;10,6
1969;11;1;12,5
1970;2;1;15,5
1970;3;1;13,8
1970;4;1;11,8
1970;5;1;11,2
1970;6;1;8,6
1970;7;1;8,4
1970;8;1;8,7
1970;9;1;9,7
1970;10;1;11,2
1970;11;1;13,1
1970;12;1;14
1971;1;1;13,8
1971;2;1;14,1
1971;3;1;12,6
1971;4;1;10,2
1971;5;1;10,8
1971;12;1;14,2
1972;2;1;14,1
1972;3;1;12,9
1972;4;1;11,7
1972;5;1;12,2
1972;6;1;12,1
1972;7;1;8,3
1972;8;1;10,5
1972;9;1;11,3
1972;10;1;11,2
1972;11;1;13,2
1972;12;1;14,9
1973;3;1;13,3
1973;4;1;11,6
1973;5;1;10,9
1973;6;1;10
1973;7;1;8,5
1973;8;1;8,4
1973;10;1;11,2
1973;11;1;11,9
1973;12;1;13,5
1974;1;1;14,8
1974;2;1;13,9
1974;3;1;13
1974;4;1;10,5
1974;5;1;11,7
1974;6;1;9,6
1974;7;1;8,3
1974;8;1;9,2
1974;9;1;9,8
1974;10;1;11
1974;11;1;12,3
1975;2;1;15,2
1975;3;1;12,8
1975;4;1;12,1
1975;5;1;11
1975;6;1;10,1
1975;7;1;9,1
1975;8;1;8,2
1975;9;1;9,7
1975;10;1;10,8
1975;11;1;12,6
1975;12;1;13,3
1976;4;1;11,1
1976;9;1;9,8
1976;10;1;11,8
1976;11;1;13,8
1976;12;1;15,5
1977;1;1;16,5
1977;4;1;12,4
1977;5;1;12,3
1977;6;1;9,8
1977;7;1;9,2
1977;8;1;9,4
1977;9;1;10,4
1977;10;1;12,5
1977;11;1;13,1
1977;12;1;15
1978;4;1;12,5
1978;5;1;11,5
1978;6;1;10,2
1978;7;1;11,5
1978;8;1;8,5
1978;9;1;11,1
1978;10;1;12,1
1978;11;1;14,7
1978;12;1;15,2
1979;4;1;12,3
1979;5;1;12
1979;6;1;8,5
1979;7;1;9,2
1979;8;1;11
1979;10;1;11,3
1979;11;1;13,5
1979;12;1;16,1
1980;3;1;15,6
1980;4;1;13,4
1980;5;1;11,9
1980;6;1;10,5
1980;7;1;9,2
1980;8;1;9,9
1980;9;1;10,1
1980;10;1;11,8
1980;11;1;12,1
1981;3;1;14,2
1981;4;1;13,1
1981;5;1;13,3
1981;6;1;9,5
1981;7;1;9,1
1981;8;1;10
1981;10;1;11,6
1981;11;1;12,5
1981;12;1;13,5
1982;3;1;14,5
1982;4;1;12,3
1982;5;1;11,9
1982;6;1;10,8
1982;7;1;11,2
1982;8;1;10,7
1982;9;1;12,1
1982;10;1;12,7
1982;11;1;13
1983;3;1;14,5
1983;4;1;12,5
1983;5;1;10,2
1983;6;1;8,4
1983;7;1;8,6
1983;8;1;10,4
1983;10;1;11,5
1983;11;1;13,1
1983;12;1;15,6
1984;4;1;10,8
1984;5;1;9,9
